Var,Name,Type
query_cnt_1_90d,近1到90天查询次数,Integer
query_cnt_1_7d,近1到7天查询次数,Integer
query_cnt_1_60d,近1到60天查询次数,Integer
query_cnt_1_30d,近1到30天查询次数,Integer
query_cnt_1_21d,近1到21天查询次数,Integer
query_cnt_1_14d,近1到14天查询次数,Integer
max_query_cnt_6h_2wk,近2周在6小时内查询的峰值次数,Integer
max_query_cnt_3h_2wk,近2周在3小时内查询的峰值次数,Integer
max_query_cnt_24h_2wk,近2周在24小时内查询的峰值次数,Integer
max_query_cnt_1h_2wk,近2周在1小时内查询的峰值次数,Integer
max_query_cnt_12h_2wk,近2周在12小时内查询的峰值次数,Integer
phone_query_cnt_B_90d_v0,VO_近90天手机号B类查询次数,Integer
phone_query_cnt_B_7d_v0,VO_近7天手机号B类查询次数,Integer
phone_query_cnt_B_6h_v0,VO_近6小时手机号B类查询次数,Integer
phone_query_cnt_B_60d_v0,VO_近60天手机号B类查询次数,Integer
phone_query_cnt_B_3h_v0,VO_近3小时手机号B类查询次数,Integer
phone_query_cnt_B_3d_v0,VO_近3天手机号B类查询次数,Integer
phone_query_cnt_B_360d_v0,VO_近360天手机号B类查询次数,Integer
phone_query_cnt_B_30d_v0,VO_近30天手机号B类查询次数,Integer
phone_query_cnt_B_24h_v0,VO_近24小时手机号B类查询次数,Integer
phone_query_cnt_B_21d_v0,VO_近21天手机号B类查询次数,Integer
phone_query_cnt_B_1h_v0,VO_近1小时手机号B类查询次数,Integer
phone_query_cnt_B_180d_v0,VO_近180天手机号B类查询次数,Integer
phone_query_cnt_B_14d_v0,VO_近14天手机号B类查询次数,Integer
phone_query_cnt_B_12h_v0,VO_近12小时手机号B类查询次数,Integer
phone_query_cnt_A_90d_v0,VO_近90天手机号A类查询次数,Integer
phone_query_cnt_A_7d_v0,VO_近7天手机号A类查询次数,Integer
phone_query_cnt_A_6h_v0,VO_近6小时手机号A类查询次数,Integer
phone_query_cnt_A_60d_v0,VO_近60天手机号A类查询次数,Integer
phone_query_cnt_A_3h_v0,VO_近3小时手机号A类查询次数,Integer
phone_query_cnt_A_3d_v0,VO_近3天手机号A类查询次数,Integer
phone_query_cnt_A_360d_v0,VO_近360天手机号A类查询次数,Integer
phone_query_cnt_A_30d_v0,VO_近30天手机号A类查询次数,Integer
phone_query_cnt_A_24h_v0,VO_近24小时手机号A类查询次数,Integer
phone_query_cnt_A_21d_v0,VO_近21天手机号A类查询次数,Integer
phone_query_cnt_A_1h_v0,VO_近1小时手机号A类查询次数,Integer
phone_query_cnt_A_180d_v0,VO_近180天手机号A类查询次数,Integer
phone_query_cnt_A_14d_v0,VO_近14天手机号A类查询次数,Integer
phone_query_cnt_A_12h_v0,VO_近12小时手机号A类查询次数,Integer
id_query_cnt_B_90d_v0,VO_近90天身份证B类查询次数,Integer
id_query_cnt_B_7d_v0,VO_近7天身份证B类查询次数,Integer
id_query_cnt_B_6h_v0,VO_近6小时身份证B类查询次数,Integer
id_query_cnt_B_60d_v0,VO_近60天身份证B类查询次数,Integer
id_query_cnt_B_3h_v0,VO_近3小时身份证B类查询次数,Integer
id_query_cnt_B_3d_v0,VO_近3天身份证B类查询次数,Integer
id_query_cnt_B_360d_v0,VO_近360天身份证B类查询次数,Integer
id_query_cnt_B_30d_v0,VO_近30天身份证B类查询次数,Integer
id_query_cnt_B_24h_v0,VO_近24小时身份证B类查询次数,Integer
id_query_cnt_B_21d_v0,VO_近21天身份证B类查询次数,Integer
id_query_cnt_B_1h_v0,VO_近1小时身份证B类查询次数,Integer
id_query_cnt_B_180d_v0,VO_近180天身份证B类查询次数,Integer
id_query_cnt_B_14d_v0,VO_近14天身份证B类查询次数,Integer
id_query_cnt_B_12h_v0,VO_近12小时身份证B类查询次数,Integer
id_query_cnt_A_90d_v0,VO_近90天身份证A类查询次数,Integer
id_query_cnt_A_7d_v0,VO_近7天身份证A类查询次数,Integer
id_query_cnt_A_6h_v0,VO_近6小时身份证A类查询次数,Integer
id_query_cnt_A_60d_v0,VO_近60天身份证A类查询次数,Integer
id_query_cnt_A_3h_v0,VO_近3小时身份证A类查询次数,Integer
id_query_cnt_A_3d_v0,VO_近3天身份证A类查询次数,Integer
id_query_cnt_A_360d_v0,VO_近360天身份证A类查询次数,Integer
id_query_cnt_A_30d_v0,VO_近30天身份证A类查询次数,Integer
id_query_cnt_A_24h_v0,VO_近24小时身份证A类查询次数,Integer
id_query_cnt_A_21d_v0,VO_近21天身份证A类查询次数,Integer
id_query_cnt_A_1h_v0,VO_近1小时身份证A类查询次数,Integer
id_query_cnt_A_180d_v0,VO_近180天身份证A类查询次数,Integer
id_query_cnt_A_14d_v0,VO_近14天身份证A类查询次数,Integer
id_query_cnt_A_12h_v0,VO_近12小时身份证A类查询次数,Integer
